
—— fold 1/5 —————————————————————
[eval 05130]  loss = 4.642961
[eval 05140]  loss = -5.707473
[eval 05150]  loss = -4.311540
[eval 05160]  loss = -5.327238
[eval 05170]  loss = 1.794140
[eval 05180]  loss = -0.246149
[eval 05190]  loss = -4.071611
[eval 05200]  loss = -6.398592
[eval 05210]  loss = 0.326608
[eval 05220]  loss = -2.332896
[eval 05230]  loss = -6.397809
[eval 05240]  loss = -4.549883
[eval 05250]  loss = -1.879792
[eval 05260]  loss = -1.218110
[eval 05270]  loss = -1.246830
[eval 05280]  loss = 1.625635
[eval 05290]  loss = -6.312770
[eval 05300]  loss = 1.692767
[eval 05310]  loss = 6.431561
[eval 05320]  loss = -5.570758
[eval 05330]  loss = 1.191317
[eval 05340]  loss = -6.200986
[eval 05350]  loss = -4.252714
[eval 05360]  loss = 1.850519
[eval 05370]  loss = 0.945679
[eval 05380]  loss = -6.279373
[eval 05390]  loss = 1.029045
[eval 05400]  loss = 4.078016
[eval 05410]  loss = -5.850773
[eval 05420]  loss = 3.499325
[eval 05430]  loss = -4.047955
[eval 05440]  loss = 3.835312
[eval 05450]  loss = -0.880746
[eval 05460]  loss = -2.139339
[eval 05470]  loss = -6.393256
[eval 05480]  loss = -2.335918
[eval 05490]  loss = 5.240138
[eval 05500]  loss = -5.098094
[eval 05510]  loss = 3.538920
[eval 05520]  loss = -1.967606
[eval 05530]  loss = -1.214604
[eval 05540]  loss = 1.853970
[eval 05550]  loss = 1.566904
[eval 05560]  loss = -6.432624
[eval 05570]  loss = -3.930289
[eval 05580]  loss = 0.344661
[eval 05590]  loss = -5.591612
[eval 05600]  loss = -0.490911
[eval 05610]  loss = -6.260482
[eval 05620]  loss = 2.652989
[eval 05630]  loss = 2.334499
[eval 05640]  loss = 2.727794
[eval 05650]  loss = -6.372227
[eval 05660]  loss = 1.090435
[eval 05670]  loss = 0.995684
[eval 05680]  loss = -5.743576
[eval 05690]  loss = -0.641783
[eval 05700]  loss = -2.690675
[eval 05710]  loss = 0.687553
[eval 05720]  loss = -5.320193
[eval 05730]  loss = -0.849731
[eval 05740]  loss = -6.287579
[eval 05750]  loss = 0.379620
[eval 05760]  loss = -5.936832
[eval 05770]  loss = -5.963563
[eval 05780]  loss = -3.452709
[eval 05790]  loss = -2.250809
[eval 05800]  loss = 0.504118
[eval 05810]  loss = -3.672564
[eval 05820]  loss = 4.506690
[eval 05830]  loss = -6.406462
